Method name,ori_input,ori_output,trans_input,trans_output,frontend_transformer,backend_checker,Holds
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[16 6 4 18 ],[3.2 1.2 0.8 3.6 ],T:MultiplyConstant,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[-8 -3 -2 -9 ],[-1.6 -0.6 -0.4 -1.8 ],T:Negate,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 9 10 ],[1.6 0.6 0.4 1.8 2.0 ],T:IncludeMax+1InArrayCollection,C:ExclusiveByMax,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[-8 -3 -2 -9 ],[-1.6 -0.6 -0.4 -1.8 ],T:Negate,C:Additive,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 ],[1.6 0.6 0.4 ],T:ExlucdeMaxInArrayCollection,C:Additive,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[11 6 5 12 ],[2.2 1.2 1.0 2.4 ],T:AddConstant,C:Additive,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[16 6 4 18 ],[3.2 1.2 0.8 3.6 ],T:MultiplyConstant,C:Additive,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[9 2 3 8 ],[1.8 0.4 0.6 1.6 ],T:ReverseArrayCollection,C:Additive,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[2 9 8 3 ],[0.4 1.8 1.6 0.6 ],T:ShuffleArrayCollection,C:Additive,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 9 10 ],[1.6 0.6 0.4 1.8 2.0 ],T:IncludeMax+1InArrayCollection,C:Additive,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[83 18 11 102 ],[16.6 3.6 2.2 20.4 ],T:PolynomialTransformer,C:Additive,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[16 6 4 18 ],[3.2 1.2 0.8 3.6 ],T:MultiplyConstant,C:DirectRelationChecker,true
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[11 6 5 12 ],[2.2 1.2 1.0 2.4 ],T:AddConstant,C:DirectRelationChecker,true
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[83 18 11 102 ],[16.6 3.6 2.2 20.4 ],T:PolynomialTransformer,C:DirectRelationChecker,true
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 9 10 ],[1.6 0.6 0.4 1.8 2.0 ],T:IncludeMax+1InArrayCollection,C:DirectRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[9 2 8 3 ],[1.8 0.4 1.6 0.6 ],T:ShuffleArrayCollection,C:DirectRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[9 2 3 8 ],[1.8 0.4 0.6 1.6 ],T:ReverseArrayCollection,C:DirectRelationChecker,true
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 ],[1.6 0.6 0.4 ],T:ExlucdeMaxInArrayCollection,C:DirectRelationChecker,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[-8 -3 -2 -9 ],[-1.6 -0.6 -0.4 -1.8 ],T:Negate,C:DirectRelationChecker,true
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[83 18 11 102 ],[16.6 3.6 2.2 20.4 ],T:PolynomialTransformer,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 9 10 ],[1.6 0.6 0.4 1.8 2.0 ],T:IncludeMax+1InArrayCollection,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[16 6 4 18 ],[3.2 1.2 0.8 3.6 ],T:MultiplyConstant,C:Multiplicative,true
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[9 2 3 8 ],[1.8 0.4 0.6 1.6 ],T:ReverseArrayCollection,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[11 6 5 12 ],[2.2 1.2 1.0 2.4 ],T:AddConstant,C:Multiplicative,true
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[9 2 8 3 ],[1.8 0.4 1.6 0.6 ],T:ShuffleArrayCollection,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[8 3 2 ],[1.6 0.6 0.4 ],T:ExlucdeMaxInArrayCollection,C:Multiplicative,false
arrayDiv,[8 3 2 9 ],[1.6 0.6 0.4 1.8 ],[-8 -3 -2 -9 ],[-1.6 -0.6 -0.4 -1.8 ],T:Negate,C:Multiplicative,true
